date_transited,item_type,from_library,from_authority,to_library,to_authority
2018-05-24,Adult Fiction,Bristol Central Lending Library,Bristol,North Somerset Mobile,North Somerset
2018-05-24,Adult Non Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Large Print - Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Large Print - Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Fiction,Knowle Library,Bristol,Christchurch Library,Dorset
2018-05-24,Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Large Print - Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Large Print - Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,12 DVD Standard,Knowle Library,Bristol,Frome Library,Somerset
2018-05-24,Large Print - Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Child Fiction,Nailsea Library,North Somerset,Clevedon Library,North Somerset
2018-05-24,Adult Fiction,Christchurch Library,Dorset,Portland Tophill Library,Dorset
2018-05-24,Adult Fiction,Broadstone Library,Poole,Dorchester Library,Dorset
2018-05-24,Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Non Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Fiction,Sturminster Library,Dorset,North Petherton Library,Somerset
2018-05-24,Large Print - Adult Fiction,Street Library,Somerset,Nether Stowey Library,Somerset
2018-05-24,Child Fiction,Winscombe Library,North Somerset,N Somerset District Stock,North Somerset
2018-05-24,Adult Non Fiction,Bradley Stoke Library,South Gloucestershire,Downend Library,South Gloucestershire
2018-05-24,Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Non Fiction,Shaftesbury Library,Dorset,Lytchett Matravers Library,Dorset
2018-05-24,Large Print - Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,U DVD Standard,Paulton Library,Bath and North East Somerset,Radstock Library,Bath and North East Somerset
2018-05-24,Child Fiction,Paulton Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-24,Child Fiction,Paulton Library,Bath and North East Somerset,Radstock Library,Bath and North East Somerset
2018-05-24,Child Fiction,Paulton Library,Bath and North East Somerset,Radstock Library,Bath and North East Somerset
2018-05-24,Child Non Fiction,Paulton Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-24,Adult Fiction,Burnham Library,Somerset,Highbridge Library,Somerset
2018-05-24,Adult Fiction,Knowle Library,Bristol,Poole Central Library,Poole
2018-05-24,Adult Non Fiction,Paulton Library,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2018-05-24,YA / Teen Non Fiction,Ferndown Library,Dorset,Verwood Library,Dorset
2018-05-24,Adult Fiction,Keynsham Library,Bath and North East Somerset,Saltford Library,Bath and North East Somerset
2018-05-24,Adult Fiction,Yate Library,South Gloucestershire,Bradley Stoke Library,South Gloucestershire
2018-05-24,Adult Non Fiction,Nailsea Library,North Somerset,Portishead Library,North Somerset
2018-05-24,Large Print - Adult Fiction,North Somerset Mobile,North Somerset,Worle Library,North Somerset
2018-05-24,Adult Non Fiction,Patchway Library,South Gloucestershire,Corfe Mullen Library,Dorset
2018-05-24,Adult Fiction,Bristol Central Lending Library,Bristol,Fishponds Library,Bristol
2018-05-24,Adult Fiction,Emersons Green Library,South Gloucestershire,Hanham Library,South Gloucestershire
2018-05-24,Adult Fiction,Burnham Library,Somerset,Bridgwater Library,Somerset
2018-05-24,Adult Fiction,Taunton Library,Somerset,Priorswood Library,Somerset
2018-05-24,Child Fiction,Yate Library,South Gloucestershire,Yate Reserve Stack,South Gloucestershire
2018-05-24,Adult Non Fiction,Yeovil Library,Somerset,Street Library,Somerset
2018-05-24,Adult Fiction,Littlemoor Library,Dorset,Weymouth Library,Dorset
2018-05-24,Adult Fiction,Cadbury Heath Library,South Gloucestershire,Hanham Library,South Gloucestershire
2018-05-24,Adult Non Fiction,Hartcliffe Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-24,Adult Fiction,Canford Heath Library,Poole,Nailsea Library,North Somerset
2018-05-24,Adult Fiction,Paulton Library,Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset
2018-05-24,Adult Fiction,Nailsea Library,North Somerset,Bristol Central Lending Library,Bristol
2018-05-24,Adult Fiction,Portishead Library,North Somerset,Yatton Library,North Somerset
2018-05-24,Child Fiction,Weston (Bath) Library,Bath and North East Somerset,Keynsham Library,Bath and North East Somerset
2018-05-24,Adult Fiction,Littlemoor Library,Dorset,Home Library Service Mobile Dorset,Dorset
2018-05-24,Child Fiction,Poole Central Library,Poole,Taunton Library,Somerset
2018-05-24,Adult Non Fiction,Bishopston Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-24,Large Print - Adult Fiction,Sherborne Library,Dorset,Beaminster Library,Dorset
2018-05-24,Adult Non Fiction,Bristol Central Lending Library,Bristol,Bishopston Library,Bristol
2018-05-24,Adult Fiction,Weston (Bath) Library,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Child Fiction,Long Ashton Library,North Somerset,Portishead Library,North Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Fiction,Radstock Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-24,Adult Fiction,Blandford Library,Dorset,Taunton Library,Somerset
2018-05-24,Adult Non Fiction,Dorchester Library,Dorset,Weymouth Library,Dorset
2018-05-24,Child Non Fiction,Filton Library,South Gloucestershire,Emersons Green Library,South Gloucestershire
2018-05-24,Child Non Fiction,Filton Library,South Gloucestershire,Emersons Green Library,South Gloucestershire
2018-05-24,Child Non Fiction,Filton Library,South Gloucestershire,Emersons Green Library,South Gloucestershire
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-24,Adult Non Fiction,Campus Library,North Somerset,Weston-super-Mare Library,North Somerset
2018-05-25,Child Fiction,Fishponds Library,Bristol,Hillfields Library,Bristol
2018-05-25,Large Print - Adult Fiction,Home Library Service Mobile Dorset,Dorset,Knowle Library,Bristol
2018-05-25,Adult Fiction,Yeovil Library,Somerset,Lytchett Matravers Library,Dorset
2018-05-25,Adult Non Fiction,Campus Library,North Somerset,Wincanton Library,Somerset
2018-05-25,Child Fiction,Blandford Library,Dorset,Highcliffe Library,Dorset
2018-05-25,Child Non Fiction,Somerton Library,Somerset,Bridgwater Library,Somerset
2018-05-25,Child Fiction,Blandford Library,Dorset,Wimborne Library,Dorset
2018-05-25,Adult Non Fiction,Marshfield Community Library,South Gloucestershire,Chipping Sodbury Library,South Gloucestershire
2018-05-25,Child Fiction,Blandford Library,Dorset,Sherborne Library,Dorset
2018-05-25,Child Fiction,Blandford Library,Dorset,Puddletown Library,Dorset
2018-05-25,Adult Non Fiction,Marshfield Community Library,South Gloucestershire,Hanham Library,South Gloucestershire
2018-05-25,Child Fiction,Blandford Library,Dorset,Littlemoor Library,Dorset
2018-05-25,YA / Teen Fiction,Blandford Library,Dorset,Christchurch Library,Dorset
2018-05-25,Child Fiction,Blandford Library,Dorset,Highcliffe Library,Dorset
2018-05-25,Adult Graphic Novel,Taunton Library,Somerset,Keynsham Library,Bath and North East Somerset
2018-05-25,Adult Spoken Word,Keynsham Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-25,YA / Teen Fiction,Wareham Library,Dorset,Blandford Library,Dorset
2018-05-25,Adult Fiction,Wool Library,Dorset,Burton Bradstock Library,Dorset
2018-05-25,Adult Fiction,Weymouth Library,Dorset,Christchurch Library,Dorset
2018-05-25,Child Fiction,Weymouth Library,Dorset,Christchurch Library,Dorset
2018-05-25,Child Fiction,Wareham Library,Dorset,Blandford Library,Dorset
2018-05-25,Child Fiction,Wareham Library,Dorset,Blandford Library,Dorset
2018-05-25,Child Fiction,Broadstone Library,Poole,Fishponds Library,Bristol
2018-05-25,Child Non Fiction,Bradley Stoke Library,South Gloucestershire,Yate Library,South Gloucestershire
2018-05-25,Child Fiction,Yate Library,South Gloucestershire,Wick Road Library,Bristol
2018-05-25,Adult Non Fiction,Bath Central Library,Bath and North East Somerset,Keynsham Library,Bath and North East Somerset
2018-05-25,Adult Non Fiction,Bath Central Library,Bath and North East Somerset,Bristol Central Lending Library,Bristol
2018-05-25,Child Fiction,Milborne Port Library,Somerset,Wells Library,Somerset
2018-05-25,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Taunton Library,Somerset,Frome Library,Somerset
2018-05-25,YA / Teen Fiction,Poole Central Library,Poole,Swanage Library,Dorset
2018-05-25,YA / Teen Fiction,Poole Central Library,Poole,Swanage Library,Dorset
2018-05-25,Child Non Fiction,Poole Central Library,Poole,Swanage Library,Dorset
2018-05-25,Child Fiction,Poole Central Library,Poole,Swanage Library,Dorset
2018-05-25,YA / Teen Fiction,Poole Central Library,Poole,Swanage Library,Dorset
2018-05-25,YA / Teen Fiction,Poole Central Library,Poole,Swanage Library,Dorset
2018-05-25,Adult Non Fiction,Bath Central Library,Bath and North East Somerset,West Moors Library,Dorset
2018-05-25,Adult Fiction,Parkstone Library,Poole,Poole Central Library,Poole
2018-05-25,Adult Non Fiction,Cadbury Heath Library,South Gloucestershire,Staple Hill Library,South Gloucestershire
2018-05-25,Adult Fiction,Crewkerne Library,Somerset,Highbridge Library,Somerset
2018-05-25,Adult Non Fiction,Wimborne Library,Dorset,Sturminster Library,Dorset
2018-05-25,Adult Non Fiction,Highcliffe Library,Dorset,Bishopston Library,Bristol
2018-05-25,Adult Non Fiction,Redland Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-25,Adult Fiction,Poole Central Library,Poole,Christchurch Library,Dorset
2018-05-25,Child Fiction,Bishopston Library,Bristol,Bristol Children's Services,Bristol
2018-05-25,Large Print - Adult Fiction,Bristol Central Lending Library,Bristol,Fishponds Library,Bristol
2018-05-25,Adult Fiction,Henbury Library,Bristol,Henleaze Library,Bristol
2018-05-25,Adult Fiction,Canford Heath Library,Poole,Wiveliscombe Library,Somerset
2018-05-25,Adult Fiction,Henbury Library,Bristol,Upton Library,Dorset
2018-05-25,Child Fiction,Emersons Green Library,South Gloucestershire,Bishopston Library,Bristol
2018-05-25,Adult Fiction,Worle Library,North Somerset,Weston-super-Mare Library,North Somerset
2018-05-25,Adult Non Fiction,Redland Library,Bristol,Fishponds Library,Bristol
2018-05-25,Child Fiction,Somerton Library,Somerset,Bishops Lydeard Library,Somerset
2018-05-25,Child Fiction,Somerton Library,Somerset,Bishops Lydeard Library,Somerset
2018-05-25,Adult Fiction,Bridport Library,Dorset,Dorchester Library,Dorset
2018-05-25,Child Fiction,Westbury-on-Trym Library,Bristol,Bridport Library,Dorset
2018-05-25,Adult Non Fiction,Shaftesbury Library,Dorset,Gillingham Library,Dorset
2018-05-25,Adult Spoken Word,Verwood Library,Dorset,Ferndown Library,Dorset
2018-05-25,Adult Spoken Word,Henbury Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-25,Adult Spoken Word,Henbury Library,Bristol,Shaftesbury Library,Dorset
2018-05-25,Child Non Fiction,Knowle Library,Bristol,Henleaze Library,Bristol
2018-05-25,Adult Non Fiction,BNES Reserve Store,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2018-05-25,Adult Non Fiction,Langport Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Langport Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Langport Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Fiction,Bishopsworth Library,Bristol,Highbridge Library,Somerset
2018-05-25,Child Non Fiction,Henleaze Library,Bristol,Horfield Library,Bristol
2018-05-25,Child Non Fiction,Langport Library,Somerset,Frome Library,Somerset
2018-05-25,Adult Non Fiction,Bristol Central Lending Library,Bristol,North Somerset Mobile,North Somerset
2018-05-25,Adult Fiction,Shirehampton Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-25,Adult Fiction,Shirehampton Library,Bristol,Bedminster Library,Bristol
2018-05-25,Adult Non Fiction,Shirehampton Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-25,Adult Non Fiction,Shirehampton Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-25,Adult Fiction,Weston-super-Mare Library,North Somerset,Winscombe Library,North Somerset
2018-05-25,Adult Spoken Word,Christchurch Library,Dorset,Thornbury Library,South Gloucestershire
2018-05-25,Adult Non Fiction,Henleaze Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-25,Adult Fiction,Henbury Library,Bristol,St George Library,Bristol
2018-05-25,Adult Non Fiction,Bath Central Library,Bath and North East Somerset,Bristol Central Lending Library,Bristol
2018-05-25,Adult Fiction,Whitchurch Library,Bristol,Southmead Library,Bristol
2018-05-25,Adult Fiction,Southmead Library,Bristol,Sea Mills Library,Bristol
2018-05-25,Child Fiction,Patchway Library,South Gloucestershire,Bradley Stoke Library,South Gloucestershire
2018-05-25,Adult Fiction,Dorchester Library,Dorset,Somerton Library,Somerset
2018-05-25,Adult Fiction,Avonmouth Library,Bristol,Bishopsworth Library,Bristol
2018-05-25,Large Print - Adult Fiction,Dorchester Library,Dorset,Chard Library,Somerset
2018-05-25,Adult Fiction,Wimborne Library,Dorset,Wareham Library,Dorset
2018-05-25,Child Fiction,Canford Cliffs Library,Poole,Poole Central Library,Poole
2018-05-25,Adult Non Fiction,Wick Road Library,Bristol,Verwood Library,Dorset
2018-05-25,Adult Non Fiction,Winterbourne Library,South Gloucestershire,Weston-super-Mare Library,North Somerset
2018-05-25,Adult Fiction,Bishopston Library,Bristol,Sea Mills Library,Bristol
2018-05-25,Adult Non Fiction,Wincanton Library,Somerset,Bristol Central Lending Library,Bristol
2018-05-25,Child Fiction,Bishopston Library,Bristol,Henleaze Library,Bristol
2018-05-25,Child Fiction,Wellington Library,Somerset,Bradley Stoke Library,South Gloucestershire
2018-05-25,Adult Non Fiction,Weymouth Library,Dorset,Midsomer Norton Library,Bath and North East Somerset
2018-05-25,Music CD,Worle Library,North Somerset,Weston-super-Mare Library,North Somerset
2018-05-25,Child Fiction,Yate Library,South Gloucestershire,Winterbourne Library,South Gloucestershire
2018-05-25,YA / Teen Fiction,Broadstone Library,Poole,Oakdale Library,Poole
2018-05-25,Music CD,Hartcliffe Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-25,Child Non Fiction,Broadstone Library,Poole,Canford Heath Library,Poole
2018-05-25,Child Fiction,Broadstone Library,Poole,Nether Stowey Library,Somerset
2018-05-25,Adult Fiction,Congresbury Library,North Somerset,Yatton Library,North Somerset
2018-05-25,Large Print - Adult Fiction,Henleaze Library,Bristol,Westbury-on-Trym Library,Bristol
2018-05-26,Adult Fiction,Bath Central Library,Bath and North East Somerset,Corfe Castle Library,Dorset
2018-05-26,Child Fiction,Bruton Library,Somerset,Wick Road Library,Bristol
2018-05-26,Adult Fiction,Patchway Library,South Gloucestershire,Taunton Library,Somerset
2018-05-26,Adult Fiction,Crewkerne Library,Somerset,Puddletown Library,Dorset
2018-05-26,Adult Spoken Word,Patchway Library,South Gloucestershire,Staple Hill Library,South Gloucestershire
2018-05-26,Adult Spoken Word,Patchway Library,South Gloucestershire,Bradley Stoke Library,South Gloucestershire
2018-05-26,Adult Non Fiction,Corfe Mullen Library,Dorset,Chard Library,Somerset
2018-05-26,Adult Spoken Word,Patchway Library,South Gloucestershire,Kingswood Library,South Gloucestershire
2018-05-26,Adult Spoken Word,Patchway Library,South Gloucestershire,Whitchurch Library,Bristol
2018-05-26,Adult Spoken Word,Patchway Library,South Gloucestershire,Bradley Stoke Library,South Gloucestershire
2018-05-26,Large Print - Adult Fiction,Redland Library,Bristol,Knowle Library,Bristol
2018-05-26,Adult Non Fiction,Congresbury Library,North Somerset,Pill Library,North Somerset
2018-05-26,Adult Non Fiction,Bridport Library,Dorset,Highcliffe Library,Dorset
2018-05-26,Child Fiction,Frome Library,Somerset,Keynsham Library,Bath and North East Somerset
2018-05-26,Adult Spoken Word,Poole Central Library,Poole,Oakdale Library,Poole
2018-05-26,Child Fiction,Highcliffe Library,Dorset,Wick Road Library,Bristol
2018-05-26,Child Fiction,Highcliffe Library,Dorset,Bradley Stoke Library,South Gloucestershire
2018-05-26,Adult Spoken Word,Wareham Library,Dorset,Dorchester Library,Dorset
2018-05-26,YA / Teen Fiction,Blandford Library,Dorset,Poole Central Library,Poole
2018-05-26,Adult Fiction,Taunton Library,Somerset,Wellington Library,Somerset
2018-05-26,Child Fiction,Clevedon Library,North Somerset,Portishead Library,North Somerset
2018-05-26,Adult Non Fiction,Wyke Regis Library,Dorset,Chickerell Library,Dorset
2018-05-26,Large Print - Adult Fiction,Bridgwater Library,Somerset,North Petherton Library,Somerset
2018-05-26,Adult Fiction,Burton Bradstock Library,Dorset,Corfe Castle Library,Dorset
2018-05-26,Child Fiction,Henleaze Library,Bristol,Redland Library,Bristol
2018-05-26,Adult Non Fiction,Henleaze Library,Bristol,Bath Central Library,Bath and North East Somerset
2018-05-26,Child Fiction,Wyke Regis Library,Dorset,Weymouth Library,Dorset
2018-05-26,Child Fiction,Wyke Regis Library,Dorset,Weymouth Library,Dorset
2018-05-26,Child Fiction,Shaftesbury Library,Dorset,Christchurch Library,Dorset
2018-05-26,Adult Fiction,Congresbury Library,North Somerset,West Moors Library,Dorset
2018-05-26,Adult Fiction,Dorchester Library,Dorset,Littlemoor Library,Dorset
2018-05-26,Child Fiction,Parkstone Library,Poole,Emersons Green Library,South Gloucestershire
2018-05-26,Adult Fiction,Saltford Library,Bath and North East Somerset,Keynsham Library,Bath and North East Somerset
2018-05-26,Adult Fiction,Bristol Central Lending Library,Bristol,Minehead Library,Somerset
2018-05-26,Adult Non Fiction,Frome Library,Somerset,Shirehampton Library,Bristol
2018-05-26,Child Fiction,Bradley Stoke Library,South Gloucestershire,Cadbury Heath Library,South Gloucestershire
2018-05-26,Adult Fiction,Worle Library,North Somerset,Weston-super-Mare Library,North Somerset
2018-05-26,Child Fiction,Yatton Library,North Somerset,Wells Library,Somerset
2018-05-26,Adult Spoken Word,Bridgwater Library,Somerset,Frome Library,Somerset
2018-05-26,Child Fiction,Poole Central Library,Poole,Wimborne Library,Dorset
2018-05-26,Adult Fiction,Knowle Library,Bristol,Henbury Library,Bristol
2018-05-26,Large Print - Adult Fiction,Yeovil Library,Somerset,Taunton Library,Somerset
2018-05-26,Adult Non Fiction,Saltford Library,Bath and North East Somerset,Bath Central Library,Bath and North East Somerset
2018-05-26,Child Fiction,Henleaze Library,Bristol,Bishopston Library,Bristol
2018-05-26,Child Fiction,Henleaze Library,Bristol,Bishopston Library,Bristol
2018-05-26,Child Fiction,Henleaze Library,Bristol,Bishopston Library,Bristol
2018-05-26,Adult Non Fiction,Filton Library,South Gloucestershire,Dorchester Library,Dorset
2018-05-26,Large Print - Adult Fiction,Radstock Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-26,Large Print - Adult Fiction,Radstock Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-26,Child Fiction,Lytchett Matravers Library,Dorset,Bath Central Library,Bath and North East Somerset
2018-05-26,Adult Fiction,Sea Mills Library,Bristol,Chard Library,Somerset
2018-05-26,Child Fiction,Dorchester Library,Dorset,Crossways Library,Dorset
2018-05-26,Child Non Fiction,Dorchester Library,Dorset,Crossways Library,Dorset
2018-05-26,Adult Fiction,Dorchester Library,Dorset,Gillingham Library,Dorset
2018-05-26,Child Fiction,Cadbury Heath Library,South Gloucestershire,Keynsham Library,Bath and North East Somerset
2018-05-26,Adult Fiction,Gillingham Library,Dorset,Bristol Central Lending Library,Bristol
2018-05-26,Child Fiction,Yeovil Library,Somerset,Langport Library,Somerset
2018-05-26,Adult Fiction,Radstock Library,Bath and North East Somerset,Paulton Library,Bath and North East Somerset
2018-05-26,Adult Fiction,Radstock Library,Bath and North East Somerset,Paulton Library,Bath and North East Somerset
2018-05-26,Adult Fiction,Ilminster Library,Somerset,Langport Library,Somerset
2018-05-26,Adult Non Fiction,Christchurch Library,Dorset,Poole Central Library,Poole
2018-05-26,Adult Fiction,Williton Library,Somerset,Bedminster Library,Bristol
2018-05-26,Child Fiction,Downend Library,South Gloucestershire,Emersons Green Library,South Gloucestershire
2018-05-26,Adult Non Fiction,Junction 3 Library,Bristol,Bishopston Library,Bristol
2018-05-26,Adult Fiction,Lytchett Matravers Library,Dorset,Bath Central Library,Bath and North East Somerset
2018-05-26,Child Fiction,Keynsham Library,Bath and North East Somerset,Hanham Library,South Gloucestershire
2018-05-26,Adult Spoken Word,Portland Tophill Library,Dorset,Christchurch Library,Dorset
2018-05-26,Child Fiction,Winscombe Library,North Somerset,Worle Library,North Somerset
2018-05-26,Child Non Fiction,Ferndown Library,Dorset,Wimborne Library,Dorset
2018-05-26,Child Fiction,Yate Library,South Gloucestershire,Winterbourne Library,South Gloucestershire
2018-05-26,Child Fiction,Yate Library,South Gloucestershire,Chipping Sodbury Library,South Gloucestershire
2018-05-26,Adult Fiction,Bridport Library,Dorset,Upton Library,Dorset
2018-05-26,Child Fiction,Bristol Central Lending Library,Bristol,Nailsea Library,North Somerset
2018-05-26,Child Spoken Word,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Child Fiction,Southmead Library,Bristol,Horfield Library,Bristol
2018-05-26,Child Spoken Word,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Child Fiction,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Child Fiction,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Child Fiction,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Child Fiction,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Child Fiction,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Child Fiction,Poole Central Library,Poole,Hamworthy Library,Poole
2018-05-26,Adult Non Fiction,Yate Library,South Gloucestershire,Patchway Library,South Gloucestershire
2018-05-26,Adult Non Fiction,Stockwood Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-26,Adult Non Fiction,Dorchester Library,Dorset,Weymouth Library,Dorset
2018-05-26,Adult Fiction,Bedminster Library,Bristol,Yate Library,South Gloucestershire
2018-05-26,Adult Fiction,Christchurch Library,Dorset,Sherborne Library,Dorset
2018-05-26,Adult Non Fiction,Highcliffe Library,Dorset,Bath Central Library,Bath and North East Somerset
2018-05-26,Music CD,Redland Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-26,Child Fiction,Shaftesbury Library,Dorset,Christchurch Library,Dorset
2018-05-26,Child Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Child Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Child Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Child Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Child Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Child Non Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Child Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Child Fiction,Clifton Library,Bristol,Henleaze Library,Bristol
2018-05-26,Large Print - Adult Fiction,Poole Central Library,Poole,Christchurch Library,Dorset
2018-05-26,Child Fiction,Weston-super-Mare Library,North Somerset,Campus Library,North Somerset
2018-05-26,Child Spoken Word,Bath Central Library,Bath and North East Somerset,Portishead Library,North Somerset
2018-05-26,Adult Non Fiction,Bishopston Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-26,Child Fiction,Henleaze Library,Bristol,Patchway Library,South Gloucestershire
2018-05-26,Adult Fiction,Bristol Central Lending Library,Bristol,Clifton Library,Bristol
2018-05-26,Adult Non Fiction,Keynsham Library,Bath and North East Somerset,Kingswood Library,South Gloucestershire
2018-05-26,Adult Non Fiction,Junction 3 Library,Bristol,Bristol Central Lending Library,Bristol
2018-05-27,Child Fiction,Chipping Sodbury Library,South Gloucestershire,Williton Library,Somerset
2018-05-27,Adult Non Fiction,Campus Library,North Somerset,Bishopston Library,Bristol
2018-05-27,Adult Spoken Word,Keynsham Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-27,Large Print - Adult Fiction,St George Library,Bristol,Marksbury Road Library,Bristol
2018-05-27,YA / Teen Fiction,Bridport Library,Dorset,Gillingham Library,Dorset
2018-05-27,Adult Fiction,Congresbury Library,North Somerset,Pill Library,North Somerset
2018-05-28,Adult Spoken Word,Keynsham Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-28,Adult Spoken Word,Keynsham Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-28,Adult Spoken Word,Keynsham Library,Bath and North East Somerset,Midsomer Norton Library,Bath and North East Somerset
2018-05-28,Adult Spoken Word,Sea Mills Library,Bristol,Whitchurch Library,Bristol
2018-05-28,18 DVD Standard,Swanage Library,Dorset,Portland Tophill Library,Dorset
2018-05-28,Child Fiction,North Somerset Mobile,North Somerset,Pill Library,North Somerset
2018-05-28,Child Fiction,North Somerset Mobile,North Somerset,Pill Library,North Somerset
2018-05-28,Child Fiction,Congresbury Library,North Somerset,North Somerset Mobile,North Somerset
2018-05-28,Large Print - Adult Non Fiction,Congresbury Library,North Somerset,North Somerset Mobile,North Somerset
2018-05-28,Child Fiction,North Somerset Mobile,North Somerset,Pill Library,North Somerset
2018-05-28,Large Print - Adult Fiction,Congresbury Library,North Somerset,North Somerset Mobile,North Somerset
2018-05-29,Adult Spoken Word,Weston (Bath) Library,Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset
2018-05-29,Child Fiction,Yate Library,South Gloucestershire,Yate Reserve Stack,South Gloucestershire
2018-05-29,Large Print - Adult Fiction,Bridport Library,Dorset,St George Library,Bristol
2018-05-29,Adult Non Fiction,Bath Central Library,Bath and North East Somerset,Moorland Road Library,Bath and North East Somerset
2018-05-29,Adult Non Fiction,Ferndown Library,Dorset,Weymouth Library,Dorset
2018-05-29,Adult Fiction,Yeovil Library,Somerset,Priorswood Library,Somerset
2018-05-29,Large Print - Adult Fiction,Littlemoor Library,Dorset,Weymouth Library,Dorset
2018-05-29,12 DVD Standard,Stalbridge Library,Dorset,Dorchester Library,Dorset
2018-05-29,Adult Non Fiction,Wareham Library,Dorset,Weymouth Library,Dorset
2018-05-29,Adult Non Fiction,Weymouth Library,Dorset,Christchurch Library,Dorset
