registered_authority,registered_library,district_name,district_code,county_name,county_code,ward_name,ward_code,msoa_name,msoa_code,lsoa_name,lsoa_code,users
Bath and North East Somerset,Moorland Road Library,Mendip District,E07000187,Somerset County,E10000027,Frome Market Ward,E05006772,Mendip 004,E02006050,Mendip 004E,E01029045,*
Bath and North East Somerset,Moorland Road Library,Mendip District,E07000187,Somerset County,E10000027,Rode and Norton St. Philip Ward,E05006781,Mendip 001,E02006047,Mendip 001E,E01029057,*
Bath and North East Somerset,Moorland Road Library,South Gloucestershire,E06000025,,,Oldland Common Ward,E05002062,South Gloucestershire 030,E02003119,South Gloucestershire 030A,E01014936,*
Bath and North East Somerset,Moorland Road Library,South Gloucestershire,E06000025,,,Woodstock Ward,E05002075,South Gloucestershire 029,E02003118,South Gloucestershire 029D,E01015002,*
Bath and North East Somerset,Moorland Road Library,South Somerset District,E07000189,Somerset County,E10000027,Turn Hill Ward,E05006849,South Somerset 004,E02006078,South Somerset 004D,E01029223,*
Bath and North East Somerset,Moorland Road Library,,,,,,,,,,,26
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Bathavon West Ward,E05001938,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022A,E01014379,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Chew Valley South Ward,E05001941,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021C,E01014384,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Clutton Ward,E05001942,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020A,E01014385,6
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Clutton Ward,E05001942,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020B,E01014386,5
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023A,E01014393,19
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023B,E01014394,13
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Mendip Ward,E05001953,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020C,E01014419,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025C,E01014422,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027A,E01014424,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027B,E01014425,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027C,E01014426,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Odd Down Ward,E05001957,Bath and North East Somerset 019,E02003003,Bath and North East Somerset 019C,E01014433,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023C,E01014439,24
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023D,E01014440,104
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023E,E01014441,52
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022E,E01014445,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Radstock Ward,E05001962,Bath and North East Somerset 024,E02003008,Bath and North East Somerset 024A,E01014448,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Timsbury Ward,E05001965,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016F,E01014459,*
Bath and North East Somerset,Paulton Library,Bath and North East Somerset,E06000022,,,Timsbury Ward,E05001965,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016G,E01014460,*
Bath and North East Somerset,Paulton Library,Mendip District,E07000187,Somerset County,E10000027,Coleford and Holcombe Ward,E05006765,Mendip 002,E02006048,Mendip 002E,E01029069,*
Bath and North East Somerset,Paulton Library,Mendip District,E07000187,Somerset County,E10000027,Coleford and Holcombe Ward,E05006765,Mendip 010,E02006056,Mendip 010A,E01029020,*
Bath and North East Somerset,Paulton Library,Mendip District,E07000187,Somerset County,E10000027,Rodney and Westbury Ward,E05006782,Mendip 005,E02006051,Mendip 005A,E01029052,*
Bath and North East Somerset,Paulton Library,,,,,,,,,,,13
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Abbey Ward,E05001935,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007B,E01014371,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Bathavon South Ward,E05001937,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010H,E01033079,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Bathavon West Ward,E05001938,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022A,E01014379,5
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Chew Valley South Ward,E05001941,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021B,E01014383,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Farmborough Ward,E05001944,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016A,E01014391,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023A,E01014393,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023B,E01014394,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Mendip Ward,E05001953,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020C,E01014419,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025A,E01014420,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025B,E01014421,10
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025C,E01014422,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Midsomer Norton North Ward,E05001954,Bath and North East Somerset 025,E02003009,Bath and North East Somerset 025D,E01014423,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027A,E01014424,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027B,E01014425,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027C,E01014426,6
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008B,E01014428,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023D,E01014440,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023E,E01014441,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022B,E01014442,6
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022C,E01014443,8
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022D,E01014444,6
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022E,E01014445,8
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Radstock Ward,E05001962,Bath and North East Somerset 024,E02003008,Bath and North East Somerset 024A,E01014448,32
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Radstock Ward,E05001962,Bath and North East Somerset 024,E02003008,Bath and North East Somerset 024B,E01014449,33
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Radstock Ward,E05001962,Bath and North East Somerset 024,E02003008,Bath and North East Somerset 024C,E01014450,19
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Radstock Ward,E05001962,Bath and North East Somerset 024,E02003008,Bath and North East Somerset 024D,E01014451,44
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Timsbury Ward,E05001965,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016F,E01014459,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Twerton Ward,E05001966,Bath and North East Somerset 011,E02002995,Bath and North East Somerset 011B,E01014462,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Westfield Ward,E05001968,Bath and North East Somerset 026,E02003010,Bath and North East Somerset 026A,E01014469,5
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Westfield Ward,E05001968,Bath and North East Somerset 026,E02003010,Bath and North East Somerset 026B,E01014470,11
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Westfield Ward,E05001968,Bath and North East Somerset 026,E02003010,Bath and North East Somerset 026C,E01014471,15
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Westfield Ward,E05001968,Bath and North East Somerset 026,E02003010,Bath and North East Somerset 026D,E01014472,6
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Westmoreland Ward,E05001969,Bath and North East Somerset 013,E02002997,Bath and North East Somerset 013B,E01014474,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Weston Ward,E05001970,Bath and North East Somerset 005,E02002989,Bath and North East Somerset 005D,E01014480,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Widcombe Ward,E05001971,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012C,E01014481,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Widcombe Ward,E05001971,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012D,E01014482,*
Bath and North East Somerset,Radstock Library,Bath and North East Somerset,E06000022,,,Widcombe Ward,E05001971,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012E,E01014483,*
Bath and North East Somerset,Radstock Library,City of Bristol (B),E06000023,,,Bishopston & Ashley Down Ward,E05010888,Bristol 010,E02003021,Bristol 010A,E01014510,*
Bath and North East Somerset,Radstock Library,City of Bristol (B),E06000023,,,Knowle Ward,E05010906,Bristol 042,E02003053,Bristol 042A,E01014645,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Ammerdown Ward,E05006760,Mendip 001,E02006047,Mendip 001E,E01029057,5
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Ammerdown Ward,E05006760,Mendip 002,E02006048,Mendip 002D,E01029068,6
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,"Ashwick, Chilcompton and Stratton Ward",E05006761,Mendip 002,E02006048,Mendip 002A,E01029024,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,"Ashwick, Chilcompton and Stratton Ward",E05006761,Mendip 002,E02006048,Mendip 002D,E01029068,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,"Ashwick, Chilcompton and Stratton Ward",E05006761,Mendip 006,E02006052,Mendip 006A,E01029018,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Chewton Mendip and Ston Easton Ward,E05006764,Mendip 006,E02006052,Mendip 006A,E01029018,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Coleford and Holcombe Ward,E05006765,Mendip 002,E02006048,Mendip 002B,E01029025,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Coleford and Holcombe Ward,E05006765,Mendip 002,E02006048,Mendip 002C,E01029026,6
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Coleford and Holcombe Ward,E05006765,Mendip 002,E02006048,Mendip 002E,E01029069,6
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Coleford and Holcombe Ward,E05006765,Mendip 010,E02006056,Mendip 010A,E01029020,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Frome Keyford Ward,E05006771,Mendip 007,E02006053,Mendip 007B,E01029035,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Frome Oakfield Ward,E05006773,Mendip 004,E02006050,Mendip 004D,E01029043,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Frome Park Ward,E05006774,Mendip 007,E02006053,Mendip 007C,E01029037,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Glastonbury St. Mary's Ward,E05006778,Mendip 011,E02006057,Mendip 011A,E01029046,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Rode and Norton St. Philip Ward,E05006781,Mendip 001,E02006047,Mendip 001A,E01029022,*
Bath and North East Somerset,Radstock Library,Mendip District,E07000187,Somerset County,E10000027,Wells St. Cuthbert's Ward,E05006791,Mendip 008,E02006054,Mendip 008D,E01029081,*
Bath and North East Somerset,Radstock Library,North Somerset,E06000024,,,Banwell & Winscombe Ward,E05010277,North Somerset 024,E02003088,North Somerset 024B,E01014742,*
Bath and North East Somerset,Radstock Library,North Somerset,E06000024,,,Congresbury & Puxton Ward,E05010284,North Somerset 014,E02003078,North Somerset 014B,E01014765,*
Bath and North East Somerset,Radstock Library,South Somerset District,E07000189,Somerset County,E10000027,Blackmoor Vale Ward,E05006820,South Somerset 005,E02006079,South Somerset 005A,E01029155,*
Bath and North East Somerset,Radstock Library,,,,,,,,,,,15
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010E,E01014377,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Clutton Ward,E05001942,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020A,E01014385,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Farmborough Ward,E05001944,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016B,E01014392,5
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003A,E01014395,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003B,E01014396,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003D,E01014398,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001B,E01014400,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001C,E01014401,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Lambridge Ward,E05001950,Bath and North East Somerset 004,E02002988,Bath and North East Somerset 004C,E01014411,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Lansdown Ward,E05001951,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007E,E01014413,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Saltford Ward,E05001963,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016C,E01014452,89
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Saltford Ward,E05001963,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016D,E01014453,63
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Saltford Ward,E05001963,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016E,E01014454,67
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Westmoreland Ward,E05001969,Bath and North East Somerset 013,E02002997,Bath and North East Somerset 013A,E01014473,*
Bath and North East Somerset,Saltford Library,Bath and North East Somerset,E06000022,,,Weston Ward,E05001970,Bath and North East Somerset 005,E02002989,Bath and North East Somerset 005B,E01014478,*
Bath and North East Somerset,Saltford Library,City of Bristol (B),E06000023,,,Bedminster Ward,E05010887,Bristol 039,E02003050,Bristol 039H,E01033364,*
Bath and North East Somerset,Saltford Library,,,,,,,,,,,9
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Abbey Ward,E05001935,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007A,E01014370,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010C,E01014375,5
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010E,E01014377,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001B,E01014400,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Kingsmead Ward,E05001949,Bath and North East Somerset 009,E02002993,Bath and North East Somerset 009A,E01014405,11
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Lambridge Ward,E05001950,Bath and North East Somerset 004,E02002988,Bath and North East Somerset 004C,E01014411,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027A,E01014424,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027C,E01014426,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008A,E01014427,6
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008B,E01014428,21
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008C,E01014429,9
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008D,E01014430,29
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Oldfield Ward,E05001958,Bath and North East Somerset 014,E02002998,Bath and North East Somerset 014B,E01014436,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023D,E01014440,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023E,E01014441,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022D,E01014444,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Radstock Ward,E05001962,Bath and North East Somerset 024,E02003008,Bath and North East Somerset 024D,E01014451,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Saltford Ward,E05001963,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016C,E01014452,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Saltford Ward,E05001963,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016D,E01014453,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Twerton Ward,E05001966,Bath and North East Somerset 011,E02002995,Bath and North East Somerset 011D,E01014464,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Westmoreland Ward,E05001969,Bath and North East Somerset 013,E02002997,Bath and North East Somerset 013A,E01014473,*
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Westmoreland Ward,E05001969,Bath and North East Somerset 013,E02002997,Bath and North East Somerset 013C,E01014475,5
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Weston Ward,E05001970,Bath and North East Somerset 005,E02002989,Bath and North East Somerset 005A,E01014477,38
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Weston Ward,E05001970,Bath and North East Somerset 005,E02002989,Bath and North East Somerset 005B,E01014478,26
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Weston Ward,E05001970,Bath and North East Somerset 005,E02002989,Bath and North East Somerset 005C,E01014479,46
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Weston Ward,E05001970,Bath and North East Somerset 005,E02002989,Bath and North East Somerset 005D,E01014480,35
Bath and North East Somerset,Weston (Bath) Library,Bath and North East Somerset,E06000022,,,Widcombe Ward,E05001971,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012F,E01014484,*
Bath and North East Somerset,Weston (Bath) Library,Bournemouth (B),E06000028,,,Central Ward,E05002115,Bournemouth 017,E02003188,Bournemouth 017C,E01015286,*
Bath and North East Somerset,Weston (Bath) Library,Wiltshire,E06000054,,,,,Wiltshire 008,E02006651,Wiltshire 008B,E01031940,*
Bath and North East Somerset,Weston (Bath) Library,Wiltshire,E06000054,,,,,Wiltshire 014,E02006656,Wiltshire 014D,E01031923,*
Bath and North East Somerset,Weston (Bath) Library,Wiltshire,E06000054,,,,,Wiltshire 017,E02006659,Wiltshire 017E,E01031930,*
Bath and North East Somerset,Weston (Bath) Library,Wiltshire,E06000054,,,,,Wiltshire 018,E02006660,Wiltshire 018D,E01031941,*
Bath and North East Somerset,Weston (Bath) Library,Wiltshire,E06000054,,,,,Wiltshire 045,E02006661,Wiltshire 045F,E01032696,*
Bath and North East Somerset,Weston (Bath) Library,,,,,,,,,,,10
Bristol,Avonmouth Library,Bournemouth (B),E06000028,,,Strouden Park Ward,E05002124,Bournemouth 008,E02003179,Bournemouth 008B,E01015339,*
Bristol,Avonmouth Library,Bournemouth (B),E06000028,,,Strouden Park Ward,E05002124,Bournemouth 010,E02003181,Bournemouth 010C,E01015342,*
Bristol,Avonmouth Library,Casnewydd - Newport,W06000022,,,,,,,,,*
Bristol,Avonmouth Library,Charnwood District (B),E07000130,Leicestershire County,E10000018,Wreake Villages Ward,E05005453,Charnwood 008,E02005352,Charnwood 008D,E01025769,*
Bristol,Avonmouth Library,Christchurch District (B),E07000048,Dorset County,E10000009,Purewell and Stanpit Ward,E05003667,Christchurch 007,E02004242,Christchurch 007D,E01020362,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Ashley Ward,E05010885,Bristol 020,E02003031,Bristol 020B,E01014491,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Ashley Ward,E05010885,Bristol 023,E02003034,Bristol 023B,E01014486,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 003,E02003014,Bristol 003A,E01014497,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 003,E02003014,Bristol 003B,E01014498,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 003,E02003014,Bristol 003C,E01014638,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 003,E02003014,Bristol 003D,E01014639,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 003,E02003014,Bristol 003E,E01014640,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 007,E02003018,Bristol 007B,E01014642,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 008,E02003019,Bristol 008A,E01014492,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 008,E02003019,Bristol 008B,E01014493,5
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 008,E02003019,Bristol 008D,E01014495,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 008,E02003019,Bristol 008E,E01014496,68
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Avonmouth & Lawrence Weston Ward,E05010886,Bristol 008,E02003019,Bristol 008F,E01014499,20
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Bishopston & Ashley Down Ward,E05010888,Bristol 016,E02003027,Bristol 016C,E01014509,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Bishopston & Ashley Down Ward,E05010888,Bristol 016,E02003027,Bristol 016G,E01014514,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Bishopsworth Ward,E05010889,Bristol 046,E02003057,Bristol 046A,E01014518,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Central Ward,E05010892,Bristol 032,E02003043,Bristol 032A,E01014538,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Clifton Ward,E05010893,Bristol 030,E02003041,Bristol 030C,E01014546,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Easton Ward,E05010896,Bristol 057,E02006890,Bristol 057B,E01014569,*
Bristol,Avonmouth Library,City of Bristol (B),E06000023,,,Eastville Ward,E05010897,Bristol 019,E02003030,Bristol 019A,E01014572,*
